hotel_id,hotel_name,hotel_formerly_name,hotel_translated_name,addressline1,addressline2,zipcode,city,state,country,countryisocode,longitude,latitude
7179,Campanile Liverpool - Queens Dock Hotel,,????????????- ????????????,Chaloner Street,,L3 4AJ,??????,,????,GB,-2.984232,53.395439
7183,Danubius Regents Park Hotel,,????????????????????,"18 Lodge Road, St. John's Wood",,NW8 7JT,????,,????,GB,-0.168741,51.529499
7225,Royal Highland Hotel,,????????????,18 Academy street,,IV1 1LG,????????,,????,GB,-4.223422,57.479496
7271,Novotel London Tower Bridge,,??????????????????,10 Pepys Street,,EC3N 2NU,????,,????,GB,-0.077375,51.510696
7332,Holiday Inn Taunton,,????????????,Deane Gate Avenue,,TA1 2UA,????,,????,GB,-3.066073,51.018726
7378,Novotel York Centre Hotel,Novotel York Hotel,??????????????????,Fishergate,,YO10 4FD,????,"Yorkshire and the Humber,England",????,GB,-1.077754,53.95239
7418,Holiday Inn London - Wembley,Wembley Plaza Hotel,??????????????????,"Empire Way, Wembley",,HA9 8DS,????,,????,GB,-0.28536,51.555725
7450,Radisson Blu Edinburgh,,????????????-??????,80 High Street,,EH1 1TH,??????,,????,GB,-3.186818,55.950066
7488,Radisson Blu Edwardian Kenilworth - Bloomsbury,Radisson Edwardian Kenilworth Hotel,????????????-?????????????????????????? ,97 Great Russell Street,,WC1B 3BL,????,,????,GB,-0.128124,51.517823
7614,Kensington Court Hotel London,KCH,????????????????,33-35 Nevern Place,,SW5 9NP,????,"London,?England",????,GB,-0.1963,51.4928
7636,Mercure Norwich Hotel,,??????????????,121 - 131 Boundary Road,,NR3 2BA,??????,,????,GB,1.267969,52.6529
7661,Novotel Glasgow Centre Hotel,,??????????????????????,181 Pitt Street,,G2 4DT,????????,Scotland,????,GB,-4.264971,55.86534
7690,Ibis London Earls Court Hotel,,????????????????????,"47 Lillie Road, Earl's Court",,SW6 1UD,????,City of London,????,GB,-0.199463,51.485831
7714,Strand Palace Hotel,,??????????????,372 Strand,,WC2R 0JJ,????,,????,GB,-0.120909,51.511073
7815,Hilton Northampton Hotel,,??????????????????,100 Watering Lane Collingtree,,NN4 0XW,??????????,,????,GB,-0.896544,52.188983
7856,Mercure Swansea Hotel,,??????????????,Phoenix Way,,SA7 9EG,??????,,????,GB,-3.911089,51.654358
7859,"Ramada Hotel Birmingham, Sutton Coldfield",Ramada Jarvis And Resort,??????????????????????????????,"Penns Lane, Walmley",,B76 1LH,??????,,????,GB,-1.80801,52.53675
7878,Crowne Plaza Heathrow,Crowne Plaza Heathrow Airport Hotel,??????????????????,"Stockley Road, West Drayton",,UB7 9NA,????,,????,GB,-0.453733,51.499588
7900,Park Plaza Victoria Hotel,,????????????????,239 Vauxhall Bridge Road,,SW1V 1EQ,????,,????,GB,-0.141309,51.494137
7975,Apollo Hotel London,,??????????????,64-66 Queensborough Terrace,,W2 3SH,????,"London,?England",????,GB,-0.185117,51.511234
7987,Crowne Plaza London Ealing,Holiday Inn Ealing Hotel,????????????????????,"Western Avenue, Ealing",,W5 1HG,????,,????,GB,-0.294126,51.529583
7991,Hilton Glasgow Hotel,,??????????????????,1 William Street,,G3 8HT,????????,,????,GB,-4.268982,55.861413
8042,Hilton Milton Keynes Hotel,,??????????,Timbold Drive Kents Hill Park,,,?????? ??????,,????,GB,-0.701861,52.023874
8137,Hilton Cobham,,????????????????,Seven Hills Road South,,KT11 1EW,????,,????,GB,-0.43463,51.333562
8256,The Basingstoke Hotel,,??????????????,"Old Common Road, Black Dam",,RG21 3PR,??????????,"South East,?England",????,GB,-1.071377,51.262889
8291,Doubletree by Hilton Southampton,Doubletree by Hilton Southampton,??????????????????????,"Bracken Place, Chilworth",,SO16 3RB,????????,,????,GB,-1.402078,50.953071
8385,Holiday Inn Express Greenock,,????????????????????,Cartsburn,,PA15 1AE,????????,,????,GB,-4.741802,55.94408
8394,Holiday Inn London Brent Cross,,??????????????????????,Tilling Road,,NW2 1LP,????,,????,GB,-0.222704,51.573067
8414,Daresbury Park Hotel,,????????????????,"Daresbury Park, Warrington, Cheshire",,WA4 4BB,????????,,????,GB,-2.643548,53.330172
8445,Royal Garden Hotel,,????????????,2 - 24 Kensington High Street,,W8 4PT,????,,????,GB,-0.187987,51.502651
8453,DoubleTree by Hilton Hotel Newbury North,,??????????????????????,"m4 junction 13, oxford road",,,??????,,????,GB,-1.311434,51.451342
